procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1072520 83136 1911056   0    0     0    16 4106 6705  5  3 92  0  0  0
 0  0      0 1072520 83140 1911056   0    0     0    88 3379 5394  3  2 95  1  0  0
 0  0      0 1072520 83140 1911060   0    0     0     0 3414 5332  3  2 95  0  0  0
 0  0      0 1072268 83140 1911060   0    0     0    28 3548 6458  4  2 94  0  0  0
 1  0      0 1072268 83140 1911060   0    0     0    40 3557 5233  3  3 94  0  0  0
 0  0      0 1072268 83140 1911060   0    0     0     4 3780 6191  5  1 94  0  0  0
 2  0      0 1072268 83140 1911060   0    0     0    20 3435 5305  2  2 96  0  0  0
 0  0      0 1072268 83156 1911044   0    0     0    64 2985 4596  2  1 97  0  0  0
 0  0      0 1072268 83156 1911064   0    0     0    24 3194 4529  2  3 96  0  0  0
 3  0      0 1072268 83156 1911064   0    0     0    28 3387 5115  4  2 94  0  0  0
 0  0      0 1072268 83156 1911064   0    0     0    32 3531 5474  3  2 95  0  0  0
 0  0      0 1072268 83156 1911068   0    0     0    60 3627 5742  3  2 95  0  0  0
 0  0      0 1072268 83156 1911068   0    0     0    32 3209 4618  2  2 96  0  0  0
 0  0      0 1071512 83156 1911068   0    0     0     4 4061 7724  6  4 90  0  0  0
 0  0      0 1068992 83156 1911072   0    0     0    60 3506 5027  4  2 95  0  0  0
 5  0      0 1068992 83156 1911072   0    0     0     0 3444 4972  3  2 96  0  0  0
 0  0      0 1068992 83160 1911076   0    0     0    48 3459 5266  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1068992 83160 1911076   0    0     0     8 3451 6025  2  2 96  0  0  0
 0  0      0 1068992 83160 1911076   0    0     0    28 3155 4598  2  2 96  0  0  0
 0  0      0 1068992 83160 1911076   0    0     0    40 3412 5217  3  2 95  0  0  0
 0  0      0 1068992 83160 1911080   0    0     0    64 3780 6610  5  3 93  0  0  0
 0  0      0 1068992 83160 1911080   0    0     0    40 3391 5378  2  2 96  0  0  0
 0  0      0 1068992 83160 1911080   0    0     0    28 3380 5981  3  2 95  0  0  0
19  0      0 1068992 83160 1911080   0    0     0     8 3562 5758  3  2 95  0  0  0
 0  0      0 1068236 83164 1911080   0    0     0    92 3731 5915  3  3 94  0  0  0
 0  0      0 1068236 83164 1911084   0    0     0     0 3267 4618  3  2 95  0  0  0
 0  0      0 1068236 83164 1911084   0    0     0    24 3344 4380  7  2 91  0  0  0
 1  0      0 1066472 83164 1911084   0    0     0     0 3461 5030  3  3 94  0  0  0
 1  0      0 1066472 83164 1911116   0    0     0    28 3346 4906  3  3 95  0  0  0
 0  0      0 1064456 83168 1911112   0    0     0    68 4424 7798  7  4 89  0  0  0
 0  0      0 1062692 83172 1911120   0    0     0    52 4280 7247  5  3 93  0  0  0
 0  0      0 1062692 83172 1911120   0    0     0    24 3589 5679  3  2 95  0  0  0
 2  0      0 1062692 83172 1911120   0    0     0   172 3657 6191  4  3 94  0  0  0
 2  0      0 1062440 83172 1911120   0    0     0     0 3229 5121  3  3 94  0  0  0
 1  0      0 1060424 83176 1911124   0    0     0    84 3944 6713  6  5 88  0  0  0
 2  0      0 1060424 83176 1911124   0    0     0    16 3396 5705  3  2 95  0  0  0
 2  0      0 1060424 83176 1911132   0    0     0    28 3497 5448  3  2 95  0  0  0
 1  0      0 1060424 83176 1911132   0    0     0     0 3172 4201  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1060424 83176 1911132   0    0     0    24 3161 4629  2  3 96  0  0  0
 0  0      0 1059668 83188 1911120   0    0     0    84 3716 5913  5  3 92  1  0  0
 0  0      0 1059668 83188 1911136   0    0     0    24 3934 6344  5  3 92  0  0  0
