procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1008040 89492 1915432   0    0     0     0 3507 5273  3  2 95  0  0  0
 0  0      0 1008040 89492 1915432   0    0     0    24 3449 5180  3  2 96  0  0  0
 0  0      0 1008040 89492 1915432   0    0     0     4 3200 4643  2  1 97  0  0  0
 0  0      0 1008040 89492 1915436   0    0     0    68 3800 6076  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1008040 89492 1915436   0    0     0     0 3557 5909  4  2 94  0  0  0
 0  0      0 1008040 89492 1915436   0    0     0    28 3702 5470  3  2 96  0  0  0
 1  0      0 1008040 89492 1915436   0    0     0    28 2994 4453  2  2 96  0  0  0
 0  0      0 1008040 89496 1915444   0    0     0    76 3861 7262  5  2 93  0  0  0
 0  0      0 1008040 89496 1915444   0    0     0    52 3593 5462  2  2 96  0  0  0
 0  0      0 1008040 89496 1915444   0    0     0    24 3522 5511  3  3 94  0  0  0
 0  0      0 1008040 89496 1915444   0    0     0     0 3575 5696  2  2 96  0  0  0
 0  0      0 1008040 89496 1915448   0    0     0    28 3270 4441  3  2 95  0  0  0
 0  0      0 1007800 89496 1915448   0    0     0     0 3075 4811  2  2 96  0  0  0
 0  0      0 1007800 89504 1915452   0    0     0    92 3713 5514  3  3 95  0  0  0
 0  0      0 1007800 89504 1915452   0    0     0     8 4080 7166  5  3 93  0  0  0
 0  0      0 1007044 89504 1915452   0    0     0    28 3717 5780  3  3 94  0  0  0
 0  0      0 1007044 89504 1915452   0    0     0    24 3347 5780  2  2 96  0  0  0
 0  0      0 1007044 89504 1915456   0    0     0    88 3944 7811  4  3 93  0  0  0
 0  0      0 1007044 89504 1915456   0    0     0    56 3762 5904  3  3 94  0  0  0
 0  0      0 1007044 89504 1915456   0    0     0    28 3394 4946  3  2 95  0  0  0
 0  0      0 1007044 89504 1915456   0    0     0     4 3449 6459  2  2 96  0  0  0
 0  0      0 1007044 89512 1915460   0    0     0    48 3725 5851  4  2 94  0  0  0
 0  0      0 1007044 89512 1915460   0    0     0     0 3548 5830  3  2 95  0  0  0
 0  0      0 1007044 89512 1915460   0    0     0    44 4002 6283  4  3 93  0  0  0
 0  0      0 1007044 89512 1915460   0    0     0     0 3414 5453  2  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1007044 89512 1915460   0    0     0    28 3201 4928  3  2 95  0  0  0
 1  0      0 1007044 89524 1915448   0    0     0    80 3354 4952  3  2 95  1  0  0
 0  0      0 1007044 89524 1915464   0    0     0    28 3942 6457  4  2 94  0  0  0
 0  0      0 1007044 89524 1915464   0    0     0    56 3355 4864  3  1 96  0  0  0
 0  0      0 1006792 89532 1915472   0    0     0    48 3341 5382  3  1 96  0  0  0
 0  0      0 1006792 89532 1915472   0    0     0     0 3024 4306  2  1 97  0  0  0
 0  0      0 1006792 89532 1915476   0    0     0    36 3605 5770  3  2 95  0  0  0
 0  0      0 1006792 89532 1915476   0    0     0     8 3134 5139  2  2 97  0  0  0
 0  0      0 1043308 89532 1915476   0    0     0    40 4076 6969  5  2 93  0  0  0
 0  0      0 1043308 89540 1915468   0    0     0    28 3623 6928  6  2 92  0  0  0
 0  0      0 1043308 89548 1915480   0    0     0    52 3387 4809  3  2 96  0  0  0
 0  0      0 1043308 89548 1915480   0    0     0    24 3351 5218  2  2 96  0  0  0
 3  0      0 1043056 89548 1915480   0    0     0    32 4155 7990  5  3 92  0  0  0
 0  0      0 1040536 89548 1915484   0    0     0    64 3701 5614  3  2 95  0  0  0
 0  0      0 1040536 89552 1915488   0    0     0    92 3271 4866  3  2 96  0  0  0
 1  0      0 1040536 89552 1915488   0    0     0     0 3340 5293  2  2 97  0  0  0
 0  0      0 1040536 89552 1915488   0    0     0    24 3475 5112  3  2 96  0  0  0
 0  0      0 1040536 89552 1915488   0    0     0     0 3102 4588  2  2 97  0  0  0
 0  0      0 1040536 89552 1915488   0    0     0    44 4226 7219  4  4 93  0  0  0
 0  0      0 1040536 89560 1915480   0    0     0    20 3790 5690  4  2 94  0  0  0
 0  0      0 1040536 89568 1915492   0    0     0    52 3632 5629  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1040536 89568 1915492   0    0     0    28 3353 4795  2  1 97  0  0  0
 0  0      0 1040536 89568 1915492   0    0     0    24 3810 5716  4  3 93  0  0  0
 0  0      0 1040536 89576 1915496   0    0     0    84 3960 6018  4  3 93  0  0  0
 1  0      0 1040536 89576 1915496   0    0     0    28 3434 4730  3  3 95  0  0  0
 0  0      0 1040536 89576 1915496   0    0     0     4 3453 5115  3  1 96  0  0  0
 0  0      0 1040536 89576 1915496   0    0     0    28 3516 5383  3  2 95  0  0  0
 1  0      0 1040536 89576 1915496   0    0     0     0 3003 4191  1  1 98  0  0  0
 0  0      0 1040284 89588 1915504   0    0     0    80 4162 6812  4  3 93  0  0  0
 3  0      0 1040284 89588 1915504   0    0     0     0 3588 6042  4  3 94  0  0  0
 0  0      0 1040284 89588 1915504   0    0     0    28 3489 5419  2  1 97  0  0  0
 0  0      0 1040284 89588 1915504   0    0     0    12 3333 5537  2  3 95  0  0  0
 0  0      0 1040060 89588 1915504   0    0     0    52 4158 6638  4  4 92  0  0  0
 0  0      0 1040060 89604 1915508   0    0     0   128 3319 4980  3  2 95  0  0  0
 0  0      0 1040060 89604 1915508   0    0     0    28 3329 5038  3  2 95  0  0  0
 0  0      0 1040060 89604 1915508   0    0     0     0 3128 4669  2  1 97  0  0  0
 0  0      0 1040060 89604 1915508   0    0     0    24 3473 4782  3  2 96  0  0  0
 0  0      0 1040060 89604 1915508   0    0     0     4 3255 4904  2  2 97  0  0  0
 0  0      0 1039808 89612 1915512   0    0     0    68 3590 6230  3  3 94  0  0  0
 0  0      0 1039808 89612 1915512   0    0     0     0 3442 6827  4  2 95  0  0  0
 0  0      0 1039808 89612 1915512   0    0     0    28 3229 5050  3  1 96  0  0  0
 0  0      0 1039808 89612 1915512   0    0     0     0 3152 5088  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1039808 89620 1915520   0    0     0    76 4099 7428  5  3 93  0  0  0
 1  0      0 1039808 89620 1915520   0    0     0    76 3426 4965  3  2 95  1  0  0
 1  0      0 1039808 89620 1915520   0    0     0    24 3565 5582  3  2 95  0  0  0
 1  0      0 1039808 89620 1915520   0    0     0     0 3345 5080  2  2 97  0  0  0
 2  0      0 1039808 89628 1915524   0    0     0    68 3565 5647  3  1 96  0  0  0
 0  0      0 1039808 89628 1915524   0    0     0     0 3197 5055  2  2 96  0  0  0
 0  0      0 1039808 89628 1915524   0    0     0    40 3519 5372  3  2 95  0  0  0
 0  0      0 1039560 89628 1915524   0    0     0     4 3490 5282  4  2 94  0  0  0
 1  0      0 1039560 89628 1915524   0    0     0    28 3699 5991  3  2 95  0  0  0
 0  0      0 1039560 89628 1915528   0    0     0    20 3439 5764  2  2 96  0  0  0
 0  0      0 1039560 89640 1915528   0    0     0    92 4153 6769  4  2 94  0  0  0
 1  0      0 1039560 89640 1915532   0    0     0    56 3643 6001  4  4 93  0  0  0
 0  0      0 1039560 89644 1915532   0    0     0    52 3456 5299  2  2 96  0  0  0
